Setup,name,closest_k (ns),mean (ns),stddev (ns),max (ns),min (ns)
Baseline,context-switch,5113.0,4973.79,155.59,5368.0,5113.0
Baseline,small-read,487.0,483.61,5.09,500.0,487.0
Baseline,med-read,489.0,484.6,4.92,490.0,489.0
Baseline,big-read,501.0,490.98,10.02,501.0,501.0
Baseline,small-write,10239.0,10073.87,911.39,12926.0,10239.0
Baseline,med-write,95447.0,96638.35,3330.08,105984.0,95447.0
Baseline,large-write,382690.0,391279.06,3988.28,401474.0,382690.0
Baseline,mmap,996.0,997.39,12.35,1020.0,996.0
Baseline,munmap,904.0,894.65,12.99,943.0,904.0
Baseline,fork-parent,45881.0,44242.0,3696.19,55824.0,45881.0
Baseline,fork-child,69213.0,67126.25,5668.34,83514.0,69213.0
Baseline,big-fork-parent,3602397.0,3632067.18,29010.33,3782431.0,3602397.0
Baseline,big-fork-child,3671186.0,3696291.78,27595.56,3847578.0,3671186.0
Baseline,thrcreate-parent,17681.0,18880.74,1420.22,22565.0,17681.0
Baseline,thrcreate-child,24443.0,25262.48,1753.82,29506.0,24443.0
Baseline,small-send,1026.0,1084.35,154.3,1564.0,1015.0
Baseline,big-send,29069.0,872000.76,1630033.21,4035924.0,29069.0
Baseline,small-recv,1037.0,1021.47,19.34,1077.0,1037.0
Baseline,big-recv,26274.0,25783.58,674.72,26927.0,26274.0
Baseline,small-select,1402.0,1392.83,18.95,1428.0,1402.0
Baseline,big-select,159926.0,160053.77,2146.95,165597.0,159926.0
Baseline,small-poll,1089.0,1095.42,15.78,1135.0,1089.0
Baseline,big-poll,157473.0,157968.08,2363.63,164877.0,157473.0
Baseline,small-epoll,1154.0,1152.89,14.44,1194.0,1154.0
Baseline,big-epoll,159058.0,157730.59,3574.65,165975.0,159058.0
Baseline,small-pagefault,3428.0,3365.62,86.94,3558.0,3428.0
Baseline,big-pagefault,5403.0,5267.86,167.93,5672.0,5403.0
Oreo,context-switch,4527.0,4441.29,118.49,4855.0,4527.0
Oreo,small-read,486.0,480.61,5.87,494.0,486.0
Oreo,med-read,488.0,483.12,4.88,488.0,488.0
Oreo,big-read,496.0,487.05,9.94,497.0,496.0
Oreo,small-write,10269.0,10210.55,905.82,13185.0,10269.0
Oreo,med-write,95581.0,98451.27,2746.02,106142.0,95581.0
Oreo,large-write,388481.0,394682.9,3586.76,404614.0,388481.0
Oreo,mmap,985.0,977.07,10.08,1009.0,985.0
Oreo,munmap,790.0,779.38,11.26,811.0,790.0
Oreo,fork-parent,46609.0,45744.16,3697.93,56215.0,46609.0
Oreo,fork-child,69972.0,70335.15,5757.69,87717.0,69972.0
Oreo,big-fork-parent,3607933.0,3553334.54,73420.25,3648468.0,3607933.0
Oreo,big-fork-child,3674695.0,3615756.26,74191.4,3707171.0,3674695.0
Oreo,thrcreate-parent,17553.0,19207.18,1463.76,22912.0,17553.0
Oreo,thrcreate-child,24073.0,25121.27,1901.38,29567.0,24073.0
Oreo,small-send,1029.0,1074.69,143.25,1530.0,1029.0
Oreo,big-send,29014.0,991920.55,1709072.96,4033683.0,29014.0
Oreo,small-recv,1005.0,987.96,22.89,1056.0,1005.0
Oreo,big-recv,26606.0,25736.96,935.42,27063.0,26606.0
Oreo,small-select,1391.0,1375.14,16.8,1410.0,1391.0
Oreo,big-select,170464.0,170603.77,2280.89,176737.0,170464.0
Oreo,small-poll,1244.0,1238.7,13.02,1277.0,1244.0
Oreo,big-poll,173167.0,173779.23,2238.81,179584.0,173167.0
Oreo,small-epoll,1187.0,1176.06,12.05,1210.0,1187.0
Oreo,big-epoll,149377.0,148025.86,3287.75,154889.0,149377.0
Oreo,small-pagefault,3412.0,3361.56,71.44,3615.0,3412.0
Oreo,big-pagefault,5368.0,5219.79,167.47,5691.0,5368.0
